VIDEO,TIME BIN #,START TIME,END TIME,ANIMAL,BODY-PART,MEASUREMENT,VALUE
01Training_rat02,157,00:02:37.000,00:02:38.000,Animal_1,Center,Movement (cm),9.625153813548215
01Training_rat02,158,00:02:38.000,00:02:39.000,Animal_1,Center,Movement (cm),6.1457952554238355
01Training_rat02,159,00:02:39.000,00:02:40.000,Animal_1,Center,Movement (cm),3.5093521340553706
01Training_rat02,160,00:02:40.000,00:02:41.000,Animal_1,Center,Movement (cm),3.985845132882909
01Training_rat02,161,00:02:41.000,00:02:42.000,Animal_1,Center,Movement (cm),6.809307051874635
01Training_rat02,162,00:02:42.000,00:02:43.000,Animal_1,Center,Movement (cm),7.519609670509827
01Training_rat02,163,00:02:43.000,00:02:44.000,Animal_1,Center,Movement (cm),4.440586833257701
01Training_rat02,164,00:02:44.000,00:02:45.000,Animal_1,Center,Movement (cm),9.190947377751423
01Training_rat02,165,00:02:45.000,00:02:46.000,Animal_1,Center,Movement (cm),7.990900247578071
01Training_rat02,166,00:02:46.000,00:02:47.000,Animal_1,Center,Movement (cm),9.842771459367908
01Training_rat02,167,00:02:47.000,00:02:48.000,Animal_1,Center,Movement (cm),5.744017315694441
01Training_rat02,168,00:02:48.000,00:02:49.000,Animal_1,Center,Movement (cm),3.5522000604866997
01Training_rat02,169,00:02:49.000,00:02:50.000,Animal_1,Center,Movement (cm),3.354528473581554
01Training_rat02,170,00:02:50.000,00:02:51.000,Animal_1,Center,Movement (cm),3.449979610358544
01Training_rat02,171,00:02:51.000,00:02:52.000,Animal_1,Center,Movement (cm),4.017305363079706
01Training_rat02,172,00:02:52.000,00:02:53.000,Animal_1,Center,Movement (cm),3.20907125947298
01Training_rat02,173,00:02:53.000,00:02:54.000,Animal_1,Center,Movement (cm),4.655588773175012
01Training_rat02,174,00:02:54.000,00:02:55.000,Animal_1,Center,Movement (cm),8.155513354096673
01Training_rat02,175,00:02:55.000,00:02:56.000,Animal_1,Center,Movement (cm),14.73674097131225
01Training_rat02,176,00:02:56.000,00:02:57.000,Animal_1,Center,Movement (cm),7.806000353167795
01Training_rat02,177,00:02:57.000,00:02:58.000,Animal_1,Center,Movement (cm),0.0
01Training_rat02,178,00:02:58.000,00:02:59.000,Animal_1,Center,Movement (cm),0.0
01Training_rat02,179,00:02:59.000,00:03:00.000,Animal_1,Center,Movement (cm),0.0
01Training_rat02,180,00:03:00.000,00:03:00.080,Animal_1,Center,Movement (cm),0.0
01Training_rat03,0,00:00:00.000,00:00:01.000,Animal_1,Center,Movement (cm),11.418743389026613
01Training_rat03,1,00:00:01.000,00:00:02.000,Animal_1,Center,Movement (cm),2.8433674582374246
01Training_rat03,2,00:00:02.000,00:00:03.000,Animal_1,Center,Movement (cm),2.961455765616594
01Training_rat03,3,00:00:03.000,00:00:04.000,Animal_1,Center,Movement (cm),7.488237546092033
01Training_rat03,4,00:00:04.000,00:00:05.000,Animal_1,Center,Movement (cm),4.816088551320789
01Training_rat03,5,00:00:05.000,00:00:06.000,Animal_1,Center,Movement (cm),19.48834527216217
01Training_rat03,6,00:00:06.000,00:00:07.000,Animal_1,Center,Movement (cm),16.489623349026342
01Training_rat03,7,00:00:07.000,00:00:08.000,Animal_1,Center,Movement (cm),5.144896290326385
01Training_rat03,8,00:00:08.000,00:00:09.000,Animal_1,Center,Movement (cm),9.430296388277418
01Training_rat03,9,00:00:09.000,00:00:10.000,Animal_1,Center,Movement (cm),9.532996519121593
01Training_rat03,10,00:00:10.000,00:00:11.000,Animal_1,Center,Movement (cm),14.913740024726375
01Training_rat03,11,00:00:11.000,00:00:12.000,Animal_1,Center,Movement (cm),17.703732394705
01Training_rat03,12,00:00:12.000,00:00:13.000,Animal_1,Center,Movement (cm),13.579458294933413
01Training_rat03,13,00:00:13.000,00:00:14.000,Animal_1,Center,Movement (cm),12.64625179351346
01Training_rat03,14,00:00:14.000,00:00:15.000,Animal_1,Center,Movement (cm),17.89463839649231
01Training_rat03,15,00:00:15.000,00:00:16.000,Animal_1,Center,Movement (cm),16.306786707442487
01Training_rat03,16,00:00:16.000,00:00:17.000,Animal_1,Center,Movement (cm),6.465197572457242
01Training_rat03,17,00:00:17.000,00:00:18.000,Animal_1,Center,Movement (cm),10.032680945706078
